index,output.relations_noOffset,aqs,aqs_initial
attempted-r-lying,10605,0.103707067875,0.0714285714286
deployed-r-patrols,10605,0.103725865651,0.11
escorted--found,10605,0.103736862076,0.107142857143
found-r-slaying,10605,0.103885115806,0.047619047619
identified-r-involving,10605,0.103913885608,0.0714285714286
fired--interviewing,10605,0.103969238525,0.0714285714286
barricaded-r-shot,10605,0.104145526776,0.0714285714286
knocked--report,10605,0.104252289292,0.142857142857
bail--entered,10605,0.104311090013,0.0714285714286
assault--shot,10605,0.104428407172,0.0714285714286
happened-r-incident,10605,0.10447800568,0.142857142857
considered--looking,10605,0.104649725888,0.142857142857
crossfire-r-trial,10605,0.104690072592,0.107142857143
collapses--out of the way,10605,0.105029946989,0.142857142857
confronted-r-went down,10605,0.105223553134,0.0714285714286
disappointing--statement,10605,0.105357374995,0.0714285714286
shield-r-spray,10605,0.105381921614,0.0714285714286
erupted--protests,10605,0.105480988064,0.0714285714286
tossing--turned,10605,0.105538839562,0.0714285714286
killing-r-reversal,10605,0.105687328176,0.0714285714286
conduct-r-thrown,10605,0.105863098194,0.0714285714286
thwarted--under control,10605,0.106005369468,0.0714285714286
apprehended--murder,10605,0.106012003981,0.0714285714286
hid--murder,10605,0.106012003981,0.0714285714286
shooting-r-took,10605,0.10619694637,0.0714285714286
convict--shooting,10605,0.10619694637,0.0714285714286
leaving--shots,10605,0.106200400688,0.0714285714286
leaving-r-shots,10605,0.106200400688,0.0714285714286
regain--waved,10605,0.106459653521,0.0714285714286
escorted-r-regain,10605,0.106459653521,0.0714285714286
hearing-r-regain,10605,0.106459653521,0.0714285714286
hearing--regain,10605,0.106459653521,0.0714285714286
called-r-coming,10605,0.106873117559,0.0714285714286
in custody--murder,10605,0.107241196952,0.142857142857
fired-r-walked,10605,0.107273469854,0.114285714286
conduct-r-hit,10605,0.107275332213,0.0714285714286
dui--time,10605,0.10727839892,0.0714285714286
dui-r-time,10605,0.10727839892,0.0714285714286
attempted-r-murder,10605,0.107333379742,0.0918367346939
conference--killed,10605,0.107584098468,0.0714285714286
injuring--job,10605,0.107774534688,0.0714285714286
foiled-r-pirate,10605,0.108157201362,0.142857142857
caught-r-dead,10605,0.108223533189,0.142857142857
grips-r-out of the way,10605,0.108226830174,0.0714285714286
intent--intent,10605,0.108276388144,0.0714285714286
conduct-r-vigil,10605,0.108478712827,0.0714285714286
thrown-r-vigil,10605,0.108478712827,0.0714285714286
hit-r-vigil,10605,0.108478712827,0.0714285714286
investigation--knocking,10605,0.108485163737,0.0714285714286
death-r-review,10605,0.108563574886,0.214285714286
erupted--fights,10605,0.108696676524,0.0714285714286
arrest--dui,10605,0.108763899599,0.0714285714286
claim-r-opened fire,10605,0.108874412968,0.0714285714286
accused--released,10605,0.108885557265,0.0714285714286
apprehended-r-hid,10605,0.109109595515,0.142857142857
murder--wounding,10605,0.109163217887,0.0714285714286
gathered-r-protest,10605,0.109961621143,0.0714285714286
scheduled--threatened,10605,0.109987136341,0.142857142857
fueled--hurled,10605,0.110002401997,0.0714285714286
arrest--hoping,10605,0.110050226311,0.0714285714286
convicted-r-sentence,10605,0.110157011287,0.0714285714286
attempted--crime,10605,0.110511213601,0.0714285714286
anger-r-protest,10605,0.110710560969,0.142857142857
vigil--violence,10605,0.110807604758,0.0714285714286
harm-r-harm,10605,0.111000248106,0.142857142857
face--killed,10605,0.111097811091,0.0714285714286
face-r-killed,10605,0.111097811091,0.0714285714286
burglary--killing,10605,0.111130329173,0.142857142857
killed--opened fire,10605,0.111289242983,0.142857142857
confessed-r-mean,10605,0.111426004491,0.0714285714286
mean-r-shoot,10605,0.111426004491,0.0714285714286
mean-r-shielded,10605,0.111426004491,0.0714285714286
killing--mean,10605,0.111426004491,0.0714285714286
mean--shoot,10605,0.111426004491,0.0714285714286
killing-r-mean,10605,0.111426004491,0.0714285714286
died--killing,10605,0.111426004491,0.0714285714286
mean--shielded,10605,0.111426004491,0.0714285714286
death-r-fired,10605,0.111526409122,0.142857142857
believed-r-occurred,10605,0.111546982744,0.0714285714286
erupted--surrounded,10605,0.111677564683,0.0714285714286
statement-r-wounding,10605,0.11183130257,0.0714285714286
murder-r-posession,10605,0.111926392402,0.107142857143
injuries-r-severe,10605,0.112012542029,0.142857142857
killing--spraying,10605,0.112093180322,0.0714285714286
firing--indiscriminately,10605,0.112307601515,0.0714285714286
shootings-r-trial,10605,0.112443130122,0.0714285714286
accused--ordered,10605,0.112443130122,0.0714285714286
escorted-r-job,10605,0.112604844227,0.142857142857
kill-r-murder,10605,0.112655842461,0.107142857143
hid-r-murder,10605,0.112664930217,0.0714285714286
trial-r-which,10605,0.11271550889,0.142857142857
looking--murder,10605,0.11272625756,0.0714285714286
caught-r-shooting,10605,0.112751092417,0.142857142857
bail-r-booked into,10605,0.112848062655,0.0714285714286
death--seek,10605,0.112942072203,0.0714285714286
pushing--shooting,10605,0.113032078327,0.0714285714286
breaks out-r-pushing,10605,0.113032078327,0.0714285714286
access--regain,10605,0.1130490267,0.142857142857
gathered--mourn,10605,0.113114921298,0.142857142857
murders-r-took place,10605,0.113158921302,0.0714285714286
charged--took place,10605,0.113158921302,0.0714285714286
gave-r-shots,10605,0.113320858872,0.0714285714286
assault in the first degree-r-faces,10605,0.113320858872,0.0714285714286
sentence-r-transferred,10605,0.113406588929,0.0714285714286
killed-r-violence,10605,0.113701209121,0.142857142857
pointing--ugly,10605,0.113705213707,0.142857142857
broke away--hostile,10605,0.114178641026,0.142857142857
guilty--posession,10605,0.114305159291,0.0714285714286
made way-r-purpose,10605,0.11439644281,0.142857142857
dead--rampage,10605,0.114520904045,0.142857142857
suspended-r-trial,10605,0.114621822344,0.0714285714286
feared-r-pleaded,10605,0.114670793972,0.0714285714286
bashed-r-death,10605,0.114759429755,0.142857142857
apprehending-r-confiscating,10605,0.114841297633,0.114285714286
appear-r-before,10605,0.115066047914,0.0714285714286
before--charged,10605,0.115066047914,0.0714285714286
confessed-r-shielding,10605,0.115161700739,0.0714285714286
among--shooting,10605,0.115259129442,0.0714285714286
among-r-shooting,10605,0.115259129442,0.0714285714286
after--animal cruelty,10605,0.115268756528,0.142857142857
gunfire-r-protect,10605,0.115562135492,0.0714285714286
threw-r-turned,10605,0.115572796658,0.0714285714286
shot-r-violence,10605,0.115601399923,0.0714285714286
investigate--murder,10605,0.115972796411,0.142857142857
threw--turned,10605,0.115994087463,0.0714285714286
after-r-charged,10605,0.116041899268,0.0714285714286
bail hearing-r-pleas,10605,0.116102985895,0.0714285714286
fleeing--killing,10605,0.116233574726,0.0714285714286
determined--shooting,10605,0.116308222884,0.0714285714286
drawing--trashed,10605,0.116366063763,0.142857142857
emotion--showed,10605,0.116928580515,0.142857142857
accused-r-charges,10605,0.1172396455,0.0714285714286
charges--filed,10605,0.1172396455,0.0714285714286
killed-r-wounded,10605,0.11745656995,0.0714285714286
escorted--injuring,10605,0.117723483354,0.142857142857
executed-r-wounded,10605,0.118256452224,0.107692307692
pointing--tossing,10605,0.118449585468,0.142857142857
arrest--on suspicion,10605,0.118533870667,0.0714285714286
convicted-r-faces,10605,0.118758088393,0.142857142857
lawsuits-r-revealed,10605,0.119090561495,0.0714285714286
lawsuits-r-named,10605,0.119090561495,0.0714285714286
killed-r-performing,10605,0.119164071448,0.0714285714286
receive--sports,10605,0.119204755631,0.0714285714286
custody--working,10605,0.119312054207,0.0714285714286
administered-r-under,10605,0.119369402246,0.0714285714286
death--unnecessary,10605,0.119944128716,0.0714285714286
among--took place,10605,0.120149789279,0.0714285714286
among-r-claimed the life,10605,0.120149789279,0.0714285714286
charges--dui,10605,0.120152809578,0.125
injuring--returned,10605,0.120169574357,0.0714285714286
returned-r-taken into custody,10605,0.120169574357,0.0714285714286
murder--possession,10605,0.12033299017,0.142857142857
claims-r-trial,10605,0.120361333013,0.0714285714286
job-r-taken into custody,10605,0.120363719761,0.0714285714286
job--taken into custody,10605,0.120363719761,0.0714285714286
escorted--taken into custody,10605,0.120363719761,0.0714285714286
injuring-r-taken into custody,10605,0.120363719761,0.0714285714286
accused-r-escorted,10605,0.120484758274,0.0714285714286
escorted-r-gunning down,10605,0.120484758274,0.0714285714286
concluded--dead,10605,0.120734772262,0.142857142857
booked into--on suspicion,10605,0.120773457292,0.0714285714286
recommendation-r-upheld,10605,0.121041385156,0.142857142857
crossfire--targeting,10605,0.121370052895,0.0714285714286
injured--targeting,10605,0.121370052895,0.0714285714286
injured-r-killed,10605,0.121370052895,0.0714285714286
injured-r-trial,10605,0.121370052895,0.0714285714286
claim-r-pointed,10605,0.121407039465,0.0714285714286
interviewing-r-shot,10605,0.121468712907,0.0714285714286
arrest-r-second,10605,0.121495776247,0.0714285714286
pushing--take,10605,0.121558569604,0.0714285714286
surgery--underwent,10605,0.121880521102,0.142857142857
claim--killed,10605,0.121973054814,0.0714285714286
richocheted--spraying,10605,0.122268075245,0.0714285714286
arrest--suspicion,10605,0.12227861876,0.0714285714286
attempt-r-foiled,10605,0.122582248849,0.224489795918
on suspicion-r-released,10605,0.122619793705,0.0714285714286
against-r-drunk - driving,10605,0.123160601456,0.0714285714286
erupt--killed,10605,0.123267209945,0.0714285714286
arrested-r-released,10605,0.123318471321,0.107142857143
custody-r-killed,10605,0.123403577207,0.0714285714286
absence-r-plea,10605,0.123494706142,0.0714285714286
appeal--sentence,10605,0.123522370582,0.0714285714286
shot--walking,10605,0.12360753135,0.0714285714286
passing-r-shot,10605,0.12360753135,0.0714285714286
protect--shot,10605,0.12374210845,0.0714285714286
accused-r-set,10605,0.123752315844,0.0727272727273
arrested-r-spiritual,10605,0.12386363888,0.0714285714286
arrested-r-revealed,10605,0.12386363888,0.0714285714286
concluded-r-shot,10605,0.124221151637,0.0714285714286
piracy--thwarts,10605,0.124221562185,0.0714285714286
protect-r-shot,10605,0.124286443982,0.0714285714286
charge-r-facing,10605,0.124429437956,0.0714285714286
passed--walked,10605,0.12446307124,0.214285714286
death--revealed,10605,0.124562462044,0.0714285714286
charges--murder,10605,0.124726200688,0.142857142857
discovered--thought,10605,0.12496170513,0.0714285714286
dead--thought,10605,0.12496170513,0.0714285714286
penciled in-r-trial,10605,0.124987023521,0.0714285714286
fired--injured,10605,0.124993584817,0.142857142857
appeal--death,10605,0.125080742111,0.142857142857
grew--scenes,10605,0.125503809499,0.0714285714286
grew-r-killed,10605,0.125503809499,0.0714285714286
absence-r-heard,10605,0.125533495178,0.0714285714286
deployed-r-under control,10605,0.125586568811,0.0857142857143
made clear--reluctant,10605,0.125751848743,0.0714285714286
ambush--weighed,10605,0.125760990488,0.142857142857
in search-r-surprised,10605,0.125852014724,0.142857142857
escorted-r-executed,10605,0.126007735975,0.107142857143
struck-r-trial,10605,0.126147775203,0.0714285714286
seen-r-shot,10605,0.126147775203,0.0714285714286
seen-r-staggering,10605,0.126147775203,0.0714285714286
seen--shot,10605,0.126147775203,0.0714285714286
shot-r-shown,10605,0.12631066962,0.0714285714286
orders-r-walking,10605,0.126315984832,0.142857142857
concluded-r-warrants,10605,0.126385372877,0.0714285714286
picking up--watched,10605,0.126455039269,0.0714285714286
arrested--dead,10605,0.126564131356,0.0903614457831
found--targeted,10605,0.126568236564,0.0714285714286
killed--riots,10605,0.126890292153,0.142857142857
administered--showing,10605,0.126987571858,0.142857142857
charge--relation,10605,0.12712005653,0.0714285714286
arrested--relation,10605,0.12712005653,0.0714285714286
confessed-r-convict,10605,0.127453842681,0.0714285714286
executed--suspended,10605,0.127679672918,0.114285714286
case-r-death,10605,0.127733436683,0.0714285714286
arrest--drunk driving,10605,0.127760708737,0.0714285714286
no_relation,10605,0.12778753135,0.132887680141
devolved-r-vigil,10605,0.127830398011,0.142857142857
arrested-r-facing,10605,0.127850725109,0.142857142857
attack-r-thwarting,10605,0.128064406308,0.107142857143
fueled--smashed,10605,0.128592709611,0.142857142857
double murder-r-stay,10605,0.128697236686,0.0714285714286
begged-r-locked up,10605,0.128697236686,0.0714285714286
job-r-killing,10605,0.12874629322,0.0975609756098
assault--killing,10605,0.128762928039,0.0714285714286
leaving-r-wounded,10605,0.12876968756,0.0714285714286
found-r-wounded,10605,0.129024748942,0.102040816327
at risk-r-harm,10605,0.129089565733,0.267857142857
application-r-hearing,10605,0.129108750827,0.0714285714286
picks up--shown,10605,0.129215417904,0.0714285714286
dead-r-picks up,10605,0.129215417904,0.0714285714286
charged-r-played,10605,0.129283513294,0.0714285714286
death-r-parole,10605,0.129411128542,0.142857142857
death-r-played,10605,0.12949244367,0.0714285714286
murder--violence,10605,0.12949244367,0.0714285714286
captured-r-played,10605,0.12949244367,0.0714285714286
captured--death,10605,0.12949244367,0.0714285714286
gave--meant,10605,0.12952308332,0.0714285714286
fired--meant,10605,0.12952308332,0.0714285714286
targeted-r-wounding,10605,0.12952308332,0.0714285714286
escorted--wounded,10605,0.129771622435,0.114285714286
bail--plea,10605,0.129784989152,0.1171875
shielding--shown,10605,0.12995603732,0.0714285714286
shielding-r-shown,10605,0.12995603732,0.0714285714286
further comment--seeking,10605,0.129967233946,0.0714285714286
further comment-r-return,10605,0.129967233946,0.0714285714286
further comment--return,10605,0.129967233946,0.0714285714286
erupted-r-gunfire,10605,0.129988110801,0.114285714286
animal cruelty--distressed state,10605,0.130031841441,0.142857142857
escape-r-executed,10605,0.130301142648,0.214285714286
escape--nabbed,10605,0.130575890965,0.142857142857
fired--orders,10605,0.130700817819,0.114285714286
found-r-rampage,10605,0.13070370142,0.0714285714286
found--rampage,10605,0.13070370142,0.0714285714286
rampage-r-that,10605,0.13070370142,0.0714285714286
rampage--that,10605,0.13070370142,0.0714285714286
joined-r-vigil,10605,0.130986129467,0.0714285714286
death-r-hearing,10605,0.13102638415,0.142857142857
arrested--time,10605,0.131128334939,0.114285714286
brandished--pointed,10605,0.131302147852,0.142857142857
killed-r-snowballs,10605,0.131524157086,0.142857142857
gathered-r-treatment,10605,0.132212082778,0.0714285714286
picked up-r-released,10605,0.132236501109,0.0714285714286
picked up--released,10605,0.132236501109,0.0714285714286
grew--protest,10605,0.132366422984,0.142857142857
broke away-r-struggled,10605,0.13248688969,0.114285714286
death--review,10605,0.132520714391,0.142857142857
trial--went on,10605,0.132630987811,0.0714285714286
scared--trial,10605,0.132866610929,0.0714285714286
investigation-r-pleased,10605,0.132866610929,0.0714285714286
scared-r-trial,10605,0.132866610929,0.0714285714286
kill-r-scared,10605,0.132866610929,0.0714285714286
pleased--statements,10605,0.132866610929,0.0714285714286
caught up in-r-shown,10605,0.132894397193,0.0714285714286
captures--event,10605,0.133057082767,0.0714285714286
event--provided,10605,0.133057082767,0.0714285714286
accused--richocheted,10605,0.133141851989,0.0714285714286
accused-r-richocheted,10605,0.133141851989,0.0714285714286
harming-r-pleaded,10605,0.133359422363,0.0714285714286
broke away-r-hostile,10605,0.133697883695,0.142857142857
appear--didnt,10605,0.133770706904,0.0714285714286
didnt--due,10605,0.133770706904,0.0714285714286
appear-r-due,10605,0.133770706904,0.0714285714286
found-r-intent,10605,0.133903679117,0.107142857143
returned-r-verdict,10605,0.133979927545,0.0714285714286
injury-r-verdict,10605,0.133979927545,0.0714285714286
guilty--injury,10605,0.133979927545,0.0714285714286
hostile-r-vigil,10605,0.133983542554,0.142857142857
conduct--thrown,10605,0.13406347028,0.142857142857
conduct--hit,10605,0.13406347028,0.142857142857
arrested--unnecessary,10605,0.134146004047,0.0714285714286
dead-r-discovered,10605,0.134225647733,0.114285714286
crime-r-determined,10605,0.134323980328,0.142857142857
claiming the life--sprayed,10605,0.13459815519,0.0714285714286
fired--fleeing,10605,0.13470789616,0.142857142857
fired-r-fleeing,10605,0.13470789616,0.142857142857
attempted--determined,10605,0.134709586167,0.142857142857
application--entered,10605,0.134728013638,0.0714285714286
pulls up to-r-waiting,10605,0.134790939663,0.0714285714286
announced--taken place,10605,0.135101212949,0.0714285714286
animal cruelty-r-taken place,10605,0.135101212949,0.0714285714286
found-r-taken place,10605,0.135101212949,0.0714285714286
charged-r-taken place,10605,0.135101212949,0.0714285714286
claims-r-scared,10605,0.135754294198,0.142857142857
harm--tried,10605,0.136055384705,0.142857142857
convicted-r-sentenced,10605,0.136073803129,0.0714285714286
attack--intercepted,10605,0.136127364455,0.142857142857
arrest-r-arrested,10605,0.136142016093,0.0714285714286
arrest--arrested,10605,0.136142016093,0.0714285714286
attack-r-murder,10605,0.136143149715,0.142857142857
attempted-r-killed,10605,0.13649452874,0.142857142857
heard-r-murders,10605,0.136630359618,0.0714285714286
passed--purpose,10605,0.136938473821,0.142857142857
lashing out--turned,10605,0.137021056182,0.142857142857
return-r-seeking,10605,0.13714884698,0.0714285714286
patrols--under control,10605,0.137519628776,0.102040816327
scenes-r-violence,10605,0.137619423838,0.142857142857
clashed-r-pointing,10605,0.138338705757,0.142857142857
poured-r-shooting,10605,0.13834527721,0.142857142857
booked into-r-give,10605,0.138360736686,0.0714285714286
give-r-released,10605,0.138360736686,0.0714285714286
dui-r-filing,10605,0.138422806479,0.0714285714286
booked--took,10605,0.138422806479,0.0714285714286
dui-r-weighs,10605,0.138422806479,0.0714285714286
fatal shooting-r-released,10605,0.138657854905,0.142857142857
absence-r-set,10605,0.138744322999,0.114285714286
declared-r-shooting,10605,0.138816988397,0.142857142857
vigil--war zone,10605,0.138943248619,0.0714285714286
course--situation,10605,0.139120166684,0.0892857142857
erupt-r-killed,10605,0.139409886655,0.142857142857
accused--spraying,10605,0.139488454161,0.142857142857
course-r-situation,10605,0.139526881614,0.116883116883
arrested-r-on probation,10605,0.139539826922,0.0714285714286
custody--murder,10605,0.139613018428,0.142857142857
intent-r-murder,10605,0.139654644013,0.149122807018
gunned down-r-shots,10605,0.139666938619,0.142857142857
lost-r-returned,10605,0.139724970067,0.0714285714286
found--slaying,10605,0.139834010018,0.0714285714286
accused-r-gunning down,10605,0.13984611511,0.114285714286
found--intent,10605,0.139889988689,0.107142857143
murder-r-questioned,10605,0.13989227849,0.0714285714286
marred-r-vigil,10605,0.140101787556,0.142857142857
found-r-shootings,10605,0.140464854986,0.142857142857
named--shot,10605,0.1408735043,0.142857142857
control--struggled,10605,0.14087464044,0.171428571429
considering--misdemeanor drunken - driving,10605,0.140988649891,0.0714285714286
armed-r-arrived,10605,0.141035876488,0.0714285714286
death--erupt,10605,0.141337610225,0.142857142857
death-r-untimely,10605,0.141401824226,0.214285714286
deployed--patrols,10605,0.141580508669,0.105555555556
hostile-r-struggled,10605,0.14158382654,0.142857142857
killed--spraying,10605,0.141592863841,0.142857142857
revealed-r-shot,10605,0.141615370136,0.114285714286
involving-r-operation,10605,0.141643359316,0.142857142857
plea-r-trial,10605,0.14187639314,0.142857142857
dying--tried,10605,0.141967822393,0.142857142857
announced-r-charged,10605,0.141983032938,0.0714285714286
announced--dead,10605,0.141983032938,0.0714285714286
announced--charged,10605,0.141983032938,0.0714285714286
feared--harming,10605,0.14206550565,0.0714285714286
parole-r-warrants,10605,0.142254841145,0.142857142857
allowed-r-sectioned,10605,0.14265605284,0.0714285714286
sectioned--slit,10605,0.14265605284,0.0714285714286
harming--pleaded,10605,0.142695513551,0.0714285714286
convicted-r-doing,10605,0.142771273039,0.142857142857
first - degree assault-r-found,10605,0.142849326256,0.0714285714286
found-r-wounding,10605,0.143111238065,0.0714285714286
looking-r-suspicion,10605,0.143173610115,0.214285714286
drunken driving-r-speeding,10605,0.143278458355,0.0714285714286
booked into-r-on bond,10605,0.143513977137,0.0714285714286
arrested-r-booked into,10605,0.143513977137,0.0714285714286
booked into--on bond,10605,0.143513977137,0.0714285714286
animal cruelty-r-identification,10605,0.143688508881,0.0714285714286
found-r-identification,10605,0.143688508881,0.0714285714286
found--identification,10605,0.143688508881,0.0714285714286
animal cruelty--identification,10605,0.143688508881,0.0714285714286
announced--identification,10605,0.143688508881,0.0714285714286
announced-r-identification,10605,0.143688508881,0.0714285714286
attempted--used,10605,0.143859282489,0.142857142857
assault in the first degree--second - degree murder,10605,0.143934146688,0.142857142857
arrested-r-awaiting,10605,0.144330301787,0.0714285714286
awaiting--driving under the influence,10605,0.144330301787,0.0714285714286
driving under the influence-r-on suspicion,10605,0.144330301787,0.0714285714286
riots-r-violations,10605,0.144363665076,0.142857142857
accused--letting off,10605,0.144714413706,0.0714285714286
application-r-entered,10605,0.144798355167,0.114285714286
booked into-r-released,10605,0.144883610353,0.15306122449
apprehended-r-charged,10605,0.145620733158,0.142857142857
harm--shielding,10605,0.145700959092,0.0714285714286
confessed-r-harm,10605,0.145700959092,0.0714285714286
murder--shielding,10605,0.145700959092,0.0714285714286
confessed-r-protect,10605,0.145700959092,0.0714285714286
arrested-r-showing,10605,0.145754326275,0.142857142857
instructed-r-murder,10605,0.146002231384,0.0714285714286
murder-r-on trial,10605,0.146002231384,0.0714285714286
instructed-r-take care of,10605,0.146002231384,0.0714285714286
going--know,10605,0.146090576724,0.0714285714286
going-r-know,10605,0.146090576724,0.0714285714286
riot-r-turned,10605,0.146095362156,0.107142857143
bail hearing-r-scheduled,10605,0.14615280373,0.142857142857
conducted-r-patrol,10605,0.14623629983,0.166666666667
marred--thrashing,10605,0.146297640348,0.142857142857
captures--shootout,10605,0.146658999867,0.0714285714286
killed-r-picked up,10605,0.146658999867,0.0714285714286
houses-r-shooting,10605,0.146799747671,0.214285714286
run--situation,10605,0.147117401788,0.121212121212
killing--shoot,10605,0.147301717933,0.0714285714286
died--shoot,10605,0.147301717933,0.0714285714286
killing--shielded,10605,0.147301717933,0.0714285714286
confessed--died,10605,0.147301717933,0.0714285714286
on probation-r-pulled over,10605,0.1473308769,0.0714285714286
confessed--shooting,10605,0.147536771569,0.183673469388
fell--watched,10605,0.14802218565,0.0714285714286
rescued--thwarted,10605,0.148175980331,0.142857142857
injured-r-investigation,10605,0.148403577142,0.0714285714286
crossfire-r-injured,10605,0.148403577142,0.0714285714286
heard-r-trial,10605,0.1485552388,0.0714285714286
chase-r-shot,10605,0.14863554834,0.142857142857
attempted--looking,10605,0.148759795868,0.214285714286
erupted-r-involved,10605,0.148872863642,0.142857142857
attack--thwarted,10605,0.148947142284,0.146428571429
conducted-r-operation,10605,0.149016722764,0.107142857143
bought-r-opened fire,10605,0.149115702316,0.142857142857
looked forward to-r-proving,10605,0.149383655819,0.0714285714286
innocence-r-looked forward to,10605,0.149383655819,0.0714285714286
drunk driving-r-pulled over,10605,0.149401933177,0.0714285714286
beaten-r-found,10605,0.149443131564,0.0714285714286
arrested--speeding,10605,0.149553869361,0.0727272727273
on suspicion--speeding,10605,0.149553869361,0.0727272727273
charged--fatal shooting,10605,0.149662518272,0.142857142857
arrested--on probation,10605,0.149698321959,0.142857142857
murder-r-used,10605,0.14980110306,0.149350649351
guilty--targeted,10605,0.149937984796,0.142857142857
attack-r-capturing,10605,0.15011377196,0.107142857143
feared-r-locked up,10605,0.150382756776,0.0714285714286
in vain-r-locked up,10605,0.150382756776,0.0714285714286
in vain--locked up,10605,0.150382756776,0.0714285714286
in vain-r-kept,10605,0.150382756776,0.0714285714286
killed--wounded,10605,0.150613727406,0.142857142857
erupted--gunfire,10605,0.150705207755,0.166666666667
arrest-r-attempted,10605,0.150729595584,0.169014084507
application-r-plea,10605,0.150782632158,0.107142857143
intent-r-intent,10605,0.150800647704,0.142857142857
executed--returned,10605,0.150834058159,0.114285714286
after-r-animal cruelty,10605,0.150839789999,0.142857142857
declined-r-interview,10605,0.150921945708,0.142857142857
against--drunk - driving,10605,0.151089113417,0.142857142857
picked up-r-shootout,10605,0.151099459852,0.142857142857
case--working,10605,0.151324605415,0.142857142857
investigate-r-status,10605,0.151419883748,0.142857142857
gunned down--returned,10605,0.151540332493,0.142857142857
slaying-r-wounding,10605,0.151581965811,0.142857142857
charged--dead,10605,0.15183074916,0.109375
erupt--riots,10605,0.152228003073,0.142857142857
culminated--shooting,10605,0.152373010912,0.142857142857
fleeing-r-leading,10605,0.152496044879,0.142857142857
attack-r-patrols,10605,0.153059858702,0.142857142857
sparked-r-which,10605,0.153095105865,0.142857142857
arrest-r-drawn,10605,0.153269396556,0.214285714286
bought-r-killing,10605,0.153352336885,0.142857142857
died--shot,10605,0.153373252985,0.142857142857
first - degree assault--second - degree murder,10605,0.153379820717,0.142857142857
facing--prior dui,10605,0.153395120511,0.0714285714286
facing--on probation,10605,0.153395120511,0.0714285714286
charges--set,10605,0.153395120511,0.0714285714286
await-r-transferred,10605,0.153555602747,0.0714285714286
clashed--ugly,10605,0.153586663924,0.142857142857
returned--taken into custody,10605,0.154060633702,0.142857142857
death-r-unnecessary,10605,0.154260049736,0.114285714286
hearing-r-severe,10605,0.154450732103,0.142857142857
battle--enraged,10605,0.155180242358,0.142857142857
fueled-r-shot,10605,0.155206926876,0.142857142857
mission-r-patrol,10605,0.155442175072,0.122222222222
investigation--on probation,10605,0.155850262923,0.142857142857
arrested-r-time,10605,0.156057007409,0.166666666667
arrested-r-play - off game,10605,0.156131767327,0.142857142857
access-r-escorted,10605,0.156200498072,0.142857142857
entered-r-scheduled,10605,0.156293333018,0.214285714286
fatally struck-r-watched,10605,0.156663638126,0.142857142857
arrest--drunken driving,10605,0.156694903383,0.114285714286
murder--remanded,10605,0.156752663255,0.142857142857
its-r-situation,10605,0.157010293899,0.102040816327
fired--passed,10605,0.157046239261,0.142857142857
made way-r-passed,10605,0.157046239261,0.142857142857
confiscating--foiled,10605,0.157130662907,0.224489795918
claims-r-testimony,10605,0.157589220709,0.142857142857
clashes--enraged,10605,0.157605789141,0.214285714286
job-r-suspended,10605,0.157647465798,0.111111111111
riot--sounds,10605,0.157661402342,0.142857142857
found-r-targeted,10605,0.157664736371,0.142857142857
arrested--suspicions,10605,0.157932218171,0.142857142857
march-r-violence,10605,0.158471529736,0.142857142857
doing-r-yard work,10605,0.158584987125,0.0714285714286
death-r-weighed,10605,0.158587721344,0.0714285714286
killed-r-revealed,10605,0.15883862981,0.142857142857
course-r-its,10605,0.158840587918,0.102040816327
murdering-r-verdict,10605,0.158850030229,0.142857142857
accused--death,10605,0.158958390651,0.166666666667
clashes-r-poured,10605,0.159041253375,0.142857142857
chaotic--rioted,10605,0.159544512463,0.142857142857
fired--suspected,10605,0.159762508526,0.166666666667
sparked--trial,10605,0.1601650892,0.142857142857
looking-r-march,10605,0.160349571382,0.142857142857
accused--wounding,10605,0.16053750204,0.168674698795
animal cruelty-r-charged,10605,0.160643904121,0.125
shot--unruly,10605,0.160647140408,0.142857142857
erupted-r-shot,10605,0.160931035406,0.142857142857
intent--shootings,10605,0.160957987624,0.133333333333
culminated--frustration,10605,0.161106993295,0.214285714286
breaks out-r-shooting,10605,0.161121721061,0.142857142857
concluded--death,10605,0.161141039111,0.0714285714286
delayed--testimony,10605,0.161178850768,0.142857142857
dead--taken place,10605,0.161282833219,0.142857142857
attack-r-dead,10605,0.162122579691,0.142857142857
case management-r-plea,10605,0.162163672584,0.114285714286
appealed-r-sentence,10605,0.162172083541,0.142857142857
charged--shooting,10605,0.162356531766,0.13768115942
arrested--under,10605,0.163013791287,0.142857142857
broke away-r-vigil,10605,0.163034483228,0.142857142857
knocked-r-working,10605,0.163133549817,0.142857142857
in custody-r-remanded,10605,0.163389109738,0.142857142857
described--hearing,10605,0.163513616732,0.142857142857
described--waved,10605,0.163513616732,0.142857142857
killing-r-lost,10605,0.163677172563,0.142857142857
feuding-r-suspended,10605,0.163841470033,0.107142857143
double murder-r-suicide attempt,10605,0.164169290596,0.142857142857
report-r-shooting,10605,0.165013257047,0.142857142857
its-r-run,10605,0.16527348106,0.0888888888889
bail--hearing,10605,0.16532135561,0.285714285714
attack--captured,10605,0.165386282677,0.214285714286
course-r-monitor,10605,0.16542962552,0.122448979592
escorting-r-incident,10605,0.165471301355,0.142857142857
event-r-provided,10605,0.165573749712,0.142857142857
suspended-r-wounded,10605,0.165604021434,0.142857142857
