index,output.relations_noOffset,aqs,aqs_initial
death-r-delayed,10605,0.0001,0.0001
arrested--piracy,10605,0.0001,0.0001
orders-r-shots,10605,0.0001,0.0001
death--violations,10605,0.0001,0.0001
operation-r-thwarted,10605,0.0001,0.0001
arrested--showing,10605,0.0001,0.0001
enraged--revealed,10605,0.0001,0.0001
arrested--suspected,10605,0.0001,0.0001
opened fire--suspended,10605,0.0001,0.0001
enraged--shot,10605,0.0001,0.0001
arrested--thought,10605,0.0001,0.0001
enraged-r-poured,10605,0.0001,0.0001
enter--hearing,10605,0.0001,0.0001
death--shots,10605,0.0001,0.0001
on escort duty-r-transiting,10605,0.0001,0.0001
on bond-r-on suspicion,10605,0.0001,0.0001
arrival--dead,10605,0.0001,0.0001
attempted--commit,10605,0.0001,0.0001
arrival--rushed,10605,0.0001,0.0001
arrival-r-declared,10605,0.0001,0.0001
married--shooting,10605,0.0001,0.0001
marred-r-thrown,10605,0.0001,0.0001
attack-r-captured,10605,0.0001,0.0001
marred-r-thrashing,10605,0.0001,0.0001
attack-r-chase,10605,0.0001,0.0001
attack-r-confiscating,10605,0.0001,0.0001
marred-r-protest,10605,0.0001,0.0001
attack-r-deployed,10605,0.0001,0.0001
marred--thrown,10605,0.0001,0.0001
attack-r-foiled,10605,0.0001,0.0001
erupted-r-killed,10605,0.0001,0.0001
attack--pirate,10605,0.0001,0.0001
attack-r-nabs,10605,0.0001,0.0001
erupted-r-protests,10605,0.0001,0.0001
march-r-riot,10605,0.0001,0.0001
erupted-r-riots,10605,0.0001,0.0001
escape--executed,10605,0.0001,0.0001
attack-r-suspected,10605,0.0001,0.0001
attack-r-thwarted,10605,0.0001,0.0001
attack-r-wounding,10605,0.0001,0.0001
march--protest,10605,0.0001,0.0001
attempt--thwarts,10605,0.0001,0.0001
attempt-r-foils,10605,0.0001,0.0001
made way--walked,10605,0.0001,0.0001
attack-r-operation,10605,0.0001,0.0001
meant--shots,10605,0.0001,0.0001
meant-r-shots,10605,0.0001,0.0001
melee--memorial,10605,0.0001,0.0001
arrival-r-rushed,10605,0.0001,0.0001
death--letting off,10605,0.0001,0.0001
asked--boasting,10605,0.0001,0.0001
murder--working,10605,0.0001,0.0001
murder--wait,10605,0.0001,0.0001
asked-r-review,10605,0.0001,0.0001
erupt-r-riots,10605,0.0001,0.0001
murder--spiritual,10605,0.0001,0.0001
assault--burglary,10605,0.0001,0.0001
erupted--involved,10605,0.0001,0.0001
assault-r-charged,10605,0.0001,0.0001
death--have,10605,0.0001,0.0001
mourn--protest,10605,0.0001,0.0001
erupted--riots,10605,0.0001,0.0001
mounting-r-worked,10605,0.0001,0.0001
assault-r-shot,10605,0.0001,0.0001
mounting-r-shooting,10605,0.0001,0.0001
erupted--scrutiny,10605,0.0001,0.0001
mounting-r-rampage,10605,0.0001,0.0001
mounting--worked,10605,0.0001,0.0001
memorial--turned,10605,0.0001,0.0001
memorial--pointing,10605,0.0001,0.0001
melee--ugly,10605,0.0001,0.0001
melee--pointing,10605,0.0001,0.0001
attack--on escort duty,10605,0.0001,0.0001
arrival--shooting,10605,0.0001,0.0001
involved-r-riots,10605,0.0001,0.0001
involved-r-protests,10605,0.0001,0.0001
called-r-knocked,10605,0.0001,0.0001
covered-r-heard,10605,0.0001,0.0001
goes--spree,10605,0.0001,0.0001
goes--shooting,10605,0.0001,0.0001
covered--ruled,10605,0.0001,0.0001
clashed-r-tossing,10605,0.0001,0.0001
clashed-r-turned,10605,0.0001,0.0001
clashed-r-ugly,10605,0.0001,0.0001
gave-r-meant,10605,0.0001,0.0001
clashes--poured,10605,0.0001,0.0001
clashes--shooting,10605,0.0001,0.0001
collapses--pushes,10605,0.0001,0.0001
grew--killed,10605,0.0001,0.0001
collapses-r-pushes,10605,0.0001,0.0001
coming-r-heard,10605,0.0001,0.0001
furious-r-struggled,10605,0.0001,0.0001
furious--vigil,10605,0.0001,0.0001
fueled-r-smashed,10605,0.0001,0.0001
commit--performing,10605,0.0001,0.0001
commit--wait,10605,0.0001,0.0001
commit-r-lying,10605,0.0001,0.0001
commotion-r-press up,10605,0.0001,0.0001
found-r-wait,10605,0.0001,0.0001
concluded--slaying,10605,0.0001,0.0001
concluded--violence,10605,0.0001,0.0001
fired--leading,10605,0.0001,0.0001
claims-r-scheduled,10605,0.0001,0.0001
claims--trial,10605,0.0001,0.0001
claims--scheduled,10605,0.0001,0.0001
chase--wounded,10605,0.0001,0.0001
gunfire-r-identified,10605,0.0001,0.0001
gunfire--watched,10605,0.0001,0.0001
gunfire--involving,10605,0.0001,0.0001
filed--gunning down,10605,0.0001,0.0001
guilty--wounded,10605,0.0001,0.0001
chase-r-walked,10605,0.0001,0.0001
creating--tossing,10605,0.0001,0.0001
finds--murder,10605,0.0001,0.0001
circumstances--commit,10605,0.0001,0.0001
circumstances--found,10605,0.0001,0.0001
circumstances--guilty,10605,0.0001,0.0001
circumstances--lying,10605,0.0001,0.0001
guilty--rampage,10605,0.0001,0.0001
circumstances-r-commit,10605,0.0001,0.0001
circumstances-r-duties,10605,0.0001,0.0001
circumstances-r-found,10605,0.0001,0.0001
circumstances-r-lying,10605,0.0001,0.0001
fired--gave,10605,0.0001,0.0001
cowering-r-found,10605,0.0001,0.0001
circumstances-r-wait,10605,0.0001,0.0001
covered-r-testify,10605,0.0001,0.0001
claimed the life--took place,10605,0.0001,0.0001
grips--pushes,10605,0.0001,0.0001
grew-r-march,10605,0.0001,0.0001
concluded--warrants,10605,0.0001,0.0001
creating--ugly,10605,0.0001,0.0001
concluded--weighed,10605,0.0001,0.0001
concluded-r-death,10605,0.0001,0.0001
foiled--on escort duty,10605,0.0001,0.0001
fired-r-interviewing,10605,0.0001,0.0001
fired-r-leading,10605,0.0001,0.0001
convicted--wounded,10605,0.0001,0.0001
considered--shot,10605,0.0001,0.0001
considered--suspicion,10605,0.0001,0.0001
considered-r-hoping,10605,0.0001,0.0001
considered-r-looking,10605,0.0001,0.0001
considered-r-shot,10605,0.0001,0.0001
convicted--trial,10605,0.0001,0.0001
fleeing--shot,10605,0.0001,0.0001
foiled--piracy,10605,0.0001,0.0001
fired-r-loaded,10605,0.0001,0.0001
control--hostile,10605,0.0001,0.0001
control--vigil,10605,0.0001,0.0001
convict--took,10605,0.0001,0.0001
convicted--shot,10605,0.0001,0.0001
fired-r-lost,10605,0.0001,0.0001
convicted--determined,10605,0.0001,0.0001
convicted--emotion,10605,0.0001,0.0001
fired-r-purpose,10605,0.0001,0.0001
fired-r-passed,10605,0.0001,0.0001
convicted--left,10605,0.0001,0.0001
fired-r-opened fire,10605,0.0001,0.0001
fired-r-wounded,10605,0.0001,0.0001
foiled--pirate,10605,0.0001,0.0001
foiled--transiting,10605,0.0001,0.0001
confiscating--on escort duty,10605,0.0001,0.0001
concluded-r-parole,10605,0.0001,0.0001
found-r-posession,10605,0.0001,0.0001
conduct--protest,10605,0.0001,0.0001
conduct--thrashing,10605,0.0001,0.0001
found-r-performing,10605,0.0001,0.0001
conduct-r-marred,10605,0.0001,0.0001
found-r-lying,10605,0.0001,0.0001
conducted--shooting,10605,0.0001,0.0001
conducted-r-mission,10605,0.0001,0.0001
found--wounding,10605,0.0001,0.0001
conference--investigating,10605,0.0001,0.0001
conference-r-investigating,10605,0.0001,0.0001
found--that,10605,0.0001,0.0001
fired--walked,10605,0.0001,0.0001
found--second - degree murder,10605,0.0001,0.0001
found--killed,10605,0.0001,0.0001
confessed-r-took,10605,0.0001,0.0001
followed-r-looking,10605,0.0001,0.0001
followed--throwing,10605,0.0001,0.0001
fired-r-injured,10605,0.0001,0.0001
followed--march,10605,0.0001,0.0001
follow - up-r-injured,10605,0.0001,0.0001
follow - up--shooting,10605,0.0001,0.0001
