index,output.relations_lemma,aqs,aqs_initial
investigate--status,10605,0.0001,0.0001
sound--war zone,10605,0.0001,0.0001
intoxicate-r-pull over,10605,0.0001,0.0001
arrest-r-thought,10605,0.0001,0.0001
slaying-r-warrant,10605,0.0001,0.0001
arrival--dead,10605,0.0001,0.0001
arrival--shooting,10605,0.0001,0.0001
in search--surprised,10605,0.0001,0.0001
attack-r-foiled,10605,0.0001,0.0001
show--wound,10605,0.0001,0.0001
house--shooting,10605,0.0001,0.0001
attempt-r-use,10605,0.0001,0.0001
attempt-r-wait,10605,0.0001,0.0001
shot--yard work,10605,0.0001,0.0001
autopsy-r-unruly,10605,0.0001,0.0001
shot--violence,10605,0.0001,0.0001
hostile--kill,10605,0.0001,0.0001
avoid-r-circumstance,10605,0.0001,0.0001
avoid-r-commit,10605,0.0001,0.0001
avoid-r-find,10605,0.0001,0.0001
avoid-r-kill,10605,0.0001,0.0001
hope--suspicion,10605,0.0001,0.0001
avoid-r-perform,10605,0.0001,0.0001
avoid-r-use,10605,0.0001,0.0001
shot--suspicion,10605,0.0001,0.0001
await--order,10605,0.0001,0.0001
await--transfer,10605,0.0001,0.0001
hit-r-thrashing,10605,0.0001,0.0001
await-r-order,10605,0.0001,0.0001
bail hearing--enter,10605,0.0001,0.0001
bail hearing-r-enter,10605,0.0001,0.0001
shot--sound,10605,0.0001,0.0001
hit--thrashing,10605,0.0001,0.0001
attempt-r-posession,10605,0.0001,0.0001
attempt-r-look,10605,0.0001,0.0001
attempt-r-guilty,10605,0.0001,0.0001
attempt-r-foil,10605,0.0001,0.0001
attack-r-nab,10605,0.0001,0.0001
attack-r-operation,10605,0.0001,0.0001
in search--speak,10605,0.0001,0.0001
in custody--remand,10605,0.0001,0.0001
in connection-r-shooting,10605,0.0001,0.0001
attack-r-suspect,10605,0.0001,0.0001
attack-r-wound,10605,0.0001,0.0001
attempt--commit,10605,0.0001,0.0001
show--spray,10605,0.0001,0.0001
attempt--duty,10605,0.0001,0.0001
attempt--find,10605,0.0001,0.0001
hit--mar,10605,0.0001,0.0001
identify--involve,10605,0.0001,0.0001
open fire--suspend,10605,0.0001,0.0001
attempt--posession,10605,0.0001,0.0001
attempt--thwarts,10605,0.0001,0.0001
shot-r-try,10605,0.0001,0.0001
attempt-r-charge,10605,0.0001,0.0001
hurl-r-shot,10605,0.0001,0.0001
attempt-r-commit,10605,0.0001,0.0001
hurl-r-kill,10605,0.0001,0.0001
attempt-r-convict,10605,0.0001,0.0001
hurl--shot,10605,0.0001,0.0001
attempt-r-duty,10605,0.0001,0.0001
shot-r-wound,10605,0.0001,0.0001
arrest--shot,10605,0.0001,0.0001
charge-r-convict,10605,0.0001,0.0001
fire-r-pass,10605,0.0001,0.0001
erupt--scrutiny,10605,0.0001,0.0001
culminate--work,10605,0.0001,0.0001
culminate-r-shooting,10605,0.0001,0.0001
culminate-r-work,10605,0.0001,0.0001
erupt--involve,10605,0.0001,0.0001
custody--status,10605,0.0001,0.0001
