worker,duration,output.relations_noOffset.count,job,judgment,unit,wqs,wqs_initial
44271664,8.5,1.0,1,2,2,0.127966637401,0.0860288149731
44147081,110.846153846,1.0,1,13,13,0.130556015135,0.104807057531
18215885,60.0,1.33333333333,1,3,3,0.131038716046,0.144391529903
44141802,19.0,1.0,1,7,7,0.131908344548,0.116056155053
43783971,39.4705882353,2.38235294118,1,34,34,0.132003655359,0.119570590553
6576528,39.7840909091,1.44318181818,1,88,88,0.133984713086,0.0861981633281
44254968,50.0625,1.25,1,16,16,0.135173193962,0.0870844987502
44282085,19.0,1.0,1,15,15,0.136083327716,0.0975005862491
36266493,37.0,1.5,1,12,12,0.138378981822,0.105259020486
43160111,51.6,1.0,1,20,20,0.139811709959,0.112808725386
44126851,205.066666667,1.53333333333,1,15,15,0.14442620961,0.110452936241
43948769,31.8461538462,2.46153846154,1,13,13,0.14516271455,0.126566027237
36986148,70.3333333333,2.0,1,3,3,0.145543002691,0.106857118778
43063480,64.6578947368,1.47368421053,1,38,38,0.147227268455,0.0939511272086
44293663,101.761904762,1.80952380952,1,21,21,0.148207996858,0.119785594063
15965551,28.5,1.03125,1,32,32,0.149106782407,0.11229845056
44000728,114.2,1.0,1,15,15,0.150511080089,0.0952582459913
44278209,59.9569892473,1.0,1,93,93,0.154364503481,0.136598414951
44029644,20.2,1.53333333333,1,15,15,0.157431445543,0.0903448144785
43680640,72.0,2.0,1,1,1,0.158416369083,0.12366587652
44063920,101.636363636,2.54545454545,1,11,11,0.159080973861,0.137948088334
44276056,125.666666667,1.06666666667,1,30,30,0.15938624245,0.142116506469
44279728,190.0,5.0,1,1,1,0.162349033303,0.172583885018
38479796,22.4411764706,1.0,1,68,68,0.166050415237,0.105032690082
44126671,24.0,1.0,1,4,4,0.166685168322,0.14651572391
27597031,45.8888888889,1.11111111111,1,9,9,0.168052895068,0.0730704229357
44156284,74.7777777778,1.0,1,9,9,0.168365401832,0.159006030097
26024737,11.0,1.08333333333,1,12,12,0.169005100112,0.0894665688518
44237949,129.8,1.0,1,20,20,0.172322288661,0.121029960393
44226518,111.0,1.0,1,1,1,0.173471366725,0.108194879182
28521374,92.5,1.0,1,2,2,0.17504636711,0.143361707625
44194084,54.2222222222,1.0,1,18,18,0.176422930722,0.108127186706
44238417,88.2727272727,1.27272727273,1,11,11,0.177443728556,0.105503881526
21875134,316.421052632,1.34210526316,1,76,76,0.178221694358,0.0979025570389
6432269,46.3333333333,1.33333333333,1,9,9,0.178996654004,0.0923987480471
44249409,111.666666667,2.0,1,3,3,0.179190102578,0.171419495764
13253916,109.0,2.0,1,2,2,0.181193827608,0.114931110596
44259098,78.7058823529,1.23529411765,1,17,17,0.184028522816,0.105083381567
44311608,32.7741935484,1.83870967742,1,31,31,0.184350494712,0.151225375238
44288864,92.7878787879,1.0,1,33,33,0.185860636311,0.168213675062
44038135,30.8210526316,1.01052631579,1,95,95,0.186695371586,0.126259382557
44241043,64.5,1.25,1,8,8,0.18817273173,0.107489615451
11001780,76.0,1.75,1,4,4,0.19124092515,0.10215133303
44132726,86.2,1.0,1,5,5,0.191412859185,0.16599470366
43861575,20.0769230769,1.02884615385,1,104,104,0.191481188352,0.142763003291
44242942,103.0,1.0,1,2,2,0.19222581101,0.172538986604
44230164,97.8571428571,2.28571428571,1,7,7,0.193401893629,0.133706510974
43983782,73.9855072464,1.0,1,69,69,0.194261961459,0.155381851373
44015607,162.956521739,2.82608695652,1,23,23,0.194470054145,0.127789848728
44319057,187.0,1.0,1,1,1,0.195819669572,0.173586658417
43847974,142.574257426,1.0099009901,1,101,101,0.196189496542,0.151059594985
44049964,43.9733333333,1.24,1,75,75,0.198066404591,0.142140565528
44243615,47.4166666667,1.0,1,84,84,0.198781018054,0.189443809449
44303302,171.185185185,1.33333333333,1,27,27,0.205831289525,0.13768740415
44279073,57.6170212766,1.0,1,47,47,0.209802750559,0.211221827813
44043052,153.857142857,1.0,1,7,7,0.21001797151,0.115144188483
14555684,21.4,1.0,1,5,5,0.213580324187,0.133818595977
14723284,28.4,1.33333333333,1,30,30,0.215756128239,0.0959438597759
44142811,15.487804878,1.0,1,41,41,0.215914905267,0.14964246637
26649250,31.0,1.0,1,1,1,0.21678652501,0.173229479727
22500775,59.6,1.0,1,10,10,0.217507441507,0.0846443358789
42696194,57.0,2.2,1,10,10,0.218581600236,0.124686339711
44088493,63.5333333333,1.2,1,15,15,0.219189218611,0.123819983658
43884271,29.3181818182,1.0,1,110,110,0.222398249716,0.176432218882
43987462,41.3333333333,1.33333333333,1,9,9,0.222732971205,0.150510132438
43741430,13.8076923077,1.0,1,26,26,0.226808945685,0.146892826459
44244900,48.6,1.0,1,10,10,0.227497197557,0.148675553048
41161616,125.76,1.24,1,25,25,0.229100458578,0.151081943283
24835873,32.462585034,1.10884353741,1,147,147,0.229125471268,0.123453284332
24280827,82.8333333333,1.0,1,6,6,0.229522153645,0.0862934549357
25756304,80.5384615385,1.0,1,13,13,0.230728454003,0.132368655899
43991258,23.7,3.0,1,10,10,0.231317242203,0.192329000583
44062380,82.287037037,1.05555555556,1,108,108,0.233754522845,0.162660180275
43996498,65.8636363636,1.04545454545,1,22,22,0.235989291546,0.16723082268
44254871,81.7619047619,3.52380952381,1,21,21,0.237334348515,0.193414752873
24104564,43.6666666667,3.0,1,3,3,0.237757911151,0.194002091147
4316379,28.5538461538,1.24615384615,1,130,130,0.237901934152,0.133658392093
6309240,86.75,1.08333333333,1,12,12,0.238039713961,0.148610306314
15555970,49.0,1.0,1,1,1,0.238093446958,0.225362309716
44248178,36.7083333333,1.85416666667,1,48,48,0.238387337815,0.173049280117
44272176,193.392857143,1.03571428571,1,28,28,0.238564065436,0.159637690299
43517926,34.1875,1.0,1,16,16,0.241115166572,0.165625133552
44215950,137.444444444,1.55555555556,1,27,27,0.242171483216,0.186312403358
44275976,125.214285714,1.07142857143,1,14,14,0.243880041936,0.201196733649
44044125,26.72,1.0,1,25,25,0.244262909632,0.161650006327
43900600,311.777777778,1.0,1,54,54,0.244644186776,0.150739085698
26643631,49.9375,1.3125,1,16,16,0.244665976552,0.169230203387
3587109,17.8648648649,1.0,1,37,37,0.245080991354,0.13920875493
44080758,65.8571428571,2.33333333333,1,21,21,0.245360364625,0.14831805345
44234175,90.125,1.0625,1,16,16,0.247583869579,0.158618518767
