worker,duration,output.relations_noOffset.count,job,judgment,unit,wqs,wqs_initial
44198456,127.615384615,6.07692307692,1,13,13,0.595807026753,0.350655190935
6355877,121.828571429,2.94285714286,1,35,35,0.596715209686,0.335542760238
43584008,45.2857142857,1.0,1,7,7,0.598917379556,0.303167677383
43220185,103.52173913,3.39130434783,1,23,23,0.600575823281,0.337614060649
44232898,93.0769230769,8.03846153846,1,52,52,0.602956828816,0.429395763822
40488533,92.3,4.95,1,20,20,0.606927594106,0.330490118881
44305715,58.640776699,7.65048543689,1,103,103,0.6091442689,0.451589885965
44203888,102.276190476,7.75238095238,1,105,105,0.613443285285,0.436841244806
44277809,71.6395348837,8.37209302326,1,86,86,0.614930085428,0.448328579994
44307472,53.0,7.34042553191,1,47,47,0.61629598076,0.465723236913
42393622,321.5,3.0,1,4,4,0.618901220202,0.370015026713
42660466,43.5,3.5,1,2,2,0.619043514757,0.20894693121
36166698,33.3333333333,2.83333333333,1,6,6,0.623370601597,0.344731975854
43799342,40.8,3.0,1,10,10,0.625032270089,0.460391089947
6352345,34.8333333333,1.83333333333,1,6,6,0.625718994134,0.344189764877
44258019,79.350877193,7.85964912281,1,57,57,0.62837983463,0.459666073575
44305965,8.0,2.0,1,2,2,0.629887016009,0.526041915404
31508822,41.5,2.3,1,10,10,0.631162082372,0.337764647075
44257917,122.222222222,5.11111111111,1,9,9,0.64360663437,0.488629424198
43656720,63.7142857143,3.0,1,7,7,0.653253079122,0.399949842334
39797332,100.5,1.5,1,4,4,0.655184071667,0.356494428216
33946118,165.3,2.1,1,10,10,0.671768038195,0.347641574465
43608685,78.6666666667,4.0,1,15,15,0.673703647842,0.397397789673
44293157,48.1666666667,3.33333333333,1,6,6,0.675000938171,0.477383314023
42609241,141.333333333,1.33333333333,1,3,3,0.678750561777,0.462367207758
44216020,181.0,2.0,1,1,1,0.69839646392,0.594812398704
44282542,84.0,3.0,1,1,1,0.719582280085,0.408118171597
43982188,15.0,1.0,1,2,2,0.763807594126,0.544555591199
35551850,43.2,2.8,1,5,5,0.770098703567,0.534395712708
44067545,683.0,1.0,1,2,2,0.788166597506,0.629731439413
44229653,42.0,1.0,1,1,1,0.789997576106,0.650026564117
19638651,38.0,2.0,1,1,1,0.838185917865,0.642750392024
36518845,22.0,1.0,1,2,2,0.876773646302,0.797587122193
37946325,33.0,1.0,1,1,1,0.887966864858,0.681044706604
38806465,15.0,1.0,1,1,1,0.954584664165,0.794530049532
35256604,74.0,1.0,1,1,1,0.954584664165,0.794530049532
15004831,18.0,1.0,1,1,1,0.975598367863,0.897096050111
