worker,output.relations_lemma.count,worker-cosine,job,duration,judgment,unit,worker-agreement,spam,wqs,wqs_initial
7265244,2.0,1.0,1,38.0,1,1,0.0,True,0.0,0.0
18969291,1.0,0.910912919363,1,6.0,1,1,0.0714285714286,False,1.47267440845e-05,0.00636336290268
40703758,1.0,0.960450662757,1,139.25,4,4,0.0185185185185,False,2.02882463563e-05,0.00111398495977
43332393,1.0,0.8624203552,1,126.333333333,3,3,0.0636288998358,False,0.00231576370713,0.0102185380567
28526462,1.0,0.781782109764,1,53.0,1,1,0.142857142857,False,0.0133490616998,0.0311739843194
25496660,1.83333333333,0.7284685431,1,14.6666666667,6,6,0.0803093203093,False,0.0161870223521,0.038152239697
7348582,1.0,0.773866491567,1,50.5,2,2,0.1,False,0.0260230893975,0.0242285901893
36891115,1.14035087719,0.798581513343,1,66.1578947368,57,57,0.13387008633,False,0.0305216326401,0.0287165578717
17950689,1.0,0.75298981042,1,119.179487179,39,39,0.135052071102,False,0.0307860420579,0.0387205768045
41127744,1.13333333333,0.71916940531,1,48.9666666667,30,30,0.163077745051,False,0.0528117118904,0.0560309590655
43611950,1.8,0.721797491416,1,22.4,5,5,0.112098214286,False,0.0556980624158,0.0502311079077
43630454,1.12871287129,0.718619779136,1,55.099009901,101,101,0.152389441204,False,0.0558157765481,0.0507534624423
43498598,1.66666666667,0.754584803602,1,10.0,3,3,0.112801932367,False,0.065351203155,0.046680140943
11767390,2.71428571429,0.648389700701,1,13.7142857143,14,14,0.121530412946,False,0.0706576392593,0.0690723010241
13197642,1.73333333333,0.680927498541,1,47.6666666667,15,15,0.196690625936,False,0.0715775740199,0.0598072865332
38479796,1.01666666667,0.709841866319,1,22.25,60,60,0.191393364525,False,0.0730497589475,0.0581057322973
42693607,1.11224489796,0.68734707716,1,49.2959183673,98,98,0.145965525545,False,0.0764927194631,0.0637809839995
20483583,1.25,0.558861213963,1,49.5,4,4,0.228598484848,False,0.08893156691,0.142691320233
39531214,2.13333333333,0.708062239419,1,28.7,30,30,0.136859041415,False,0.0919226371625,0.0578602506082
43476716,1.6,0.6338531119,1,43.8666666667,30,30,0.154713050603,False,0.115649147816,0.0819592252069
30188660,1.0,0.636765069235,1,37.0909090909,11,11,0.208421004061,False,0.116161500824,0.0807919003552
27597031,1.08333333333,0.707702998624,1,36.9166666667,12,12,0.138410446921,False,0.118719550169,0.0593410162812
42609241,1.10638297872,0.607033962279,1,79.1276595745,47,47,0.24963129921,False,0.124299528357,0.110792607648
19780901,1.0,0.447689564407,1,68.3333333333,3,3,0.267361111111,False,0.124385627441,0.172359240207
43698588,1.93333333333,0.696434615901,1,74.0666666667,15,15,0.158827769453,False,0.128260857292,0.065373091141
2044524,1.26666666667,0.632342347375,1,32.4333333333,30,30,0.248979202747,False,0.1283673256,0.103849713544
43680640,2.0,0.492907447163,1,72.0,1,1,0.166666666667,False,0.140799044106,0.12366587652
6576528,1.67816091954,0.588559818027,1,42.4252873563,87,87,0.223389419581,False,0.173714599718,0.112390682746
11001780,1.75,0.581090801168,1,76.0,4,4,0.165873015873,False,0.193090761911,0.10215133303
14555684,1.06666666667,0.567642631513,1,33.0666666667,15,15,0.227576027147,False,0.194192813522,0.124137332832
24992939,1.16417910448,0.582111683261,1,22.9850746269,67,67,0.249499313318,False,0.199136428629,0.124538801592
43534804,1.06666666667,0.51294992629,1,81.3333333333,15,15,0.279169110459,False,0.212144383498,0.171460060715
26649250,1.0,0.514752520585,1,31.0,1,1,0.208333333333,False,0.214618500577,0.173229479727
14723284,1.33333333333,0.606098631829,1,28.4,30,30,0.197133757614,False,0.215399222808,0.0959438597759
43645733,1.14285714286,0.574216940656,1,42.4285714286,7,7,0.240555555556,False,0.227566428764,0.130690374174
39912464,6.5,0.577782423128,1,71.0,2,2,0.214191919192,False,0.23445923415,0.140859540523
39339973,3.53846153846,0.56233459442,1,38.2307692308,65,65,0.229166058989,False,0.24052726597,0.124879343514
15555970,1.0,0.459261929564,1,49.0,1,1,0.255952380952,False,0.249773869909,0.225362309716
43704483,1.15555555556,0.514184093763,1,47.8888888889,45,45,0.310088487027,False,0.252004908433,0.174762891867
43709087,1.13333333333,0.510759107683,1,217.933333333,15,15,0.268742183742,False,0.25244955235,0.179734700808
39664721,1.2,0.474290977032,1,56.8,5,5,0.224014336918,False,0.258618434277,0.169118051029
36174227,1.0,0.569618821025,1,77.0,2,2,0.193137254902,False,0.266879943082,0.130371159991
39127197,1.5,0.634857953168,1,20.0,2,2,0.11,False,0.270489128626,0.0564812951998
22500775,1.10526315789,0.541978350449,1,53.7368421053,19,19,0.274230506833,False,0.278842956901,0.130226621597
1924522,1.61538461538,0.502200159594,1,22.6923076923,13,13,0.294380770919,False,0.283898290977,0.166962576103
11145155,3.0,0.497424940324,1,28.4,10,10,0.236149140212,False,0.286872054889,0.163805238645
43719192,3.0,0.500345849127,1,58.5384615385,26,26,0.248290947767,False,0.28745379878,0.174240434539
27770607,1.0625,0.456137086264,1,20.625,16,16,0.365743802824,False,0.289692507925,0.202149770925
42544704,1.0,0.458804860084,1,20.3846153846,13,13,0.376498797499,False,0.290304134966,0.20691658868
40233359,1.2,0.422718517842,1,75.0,5,5,0.357083333333,False,0.291800080117,0.201431171794
42660466,3.625,0.516888215921,1,60.625,8,8,0.160209656085,False,0.296137880389,0.135440040717
20312760,1.5,0.481573831647,1,55.625,32,32,0.30211640251,False,0.306088718118,0.183071041902
24835873,1.01834862385,0.488481473564,1,29.7339449541,109,109,0.302135543739,False,0.308064431698,0.1904913271
